origin,destination,driving_distance,from_center,to_center
"Auenbruggerplatz 29, GRAZ","ZIM - Medizinische Klinik I, WUERZBURG",598.326,AGATP,GWZTP
"Auenbruggerplatz 29, GRAZ","Hanzeplein 1, Groningen",1151.188,AGATP,NGRTP
"Auenbruggerplatz 29, GRAZ","Abt. Transplantation 09 D, Wien",195.377,AGATP,AWGTP
"Auenbruggerplatz 29, GRAZ","Kresimirova 42, Rijeka",314.968,AGATP,CRITP
"Auenbruggerplatz 29, GRAZ","Friedrichstrasse 10, Stuttgart",621.33,AGATP,GBWOR
"Auenbruggerplatz 29, GRAZ","Im Neuenheimer Feld 110, HEIDELBERG",708.442,AGATP,GHBTP
"Auenbruggerplatz 29, GRAZ","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",780.739,AGATP,GKSTP
"Auenbruggerplatz 29, GRAZ","Maximilianspl. 2, ERLANGEN",512.841,AGATP,GNBTP
"Auenbruggerplatz 29, GRAZ","Baross u. 23-25., Budapest",342.152,AGATP,HBSTP
"Auenbruggerplatz 29, GRAZ","Albinusdreef 2, LEIDEN",1161.317,AGATP,NLBTP
"Auenbruggerplatz 29, GRAZ","Wilrijkstraat 10, EDEGEM",1103.677,AGATP,BANTP
"Auenbruggerplatz 29, GRAZ","Kispaticeva 12, Zagreb",190.536,AGATP,CZATP
"Auenbruggerplatz 29, GRAZ","Marchioninistrasse 15, Muenchen",395.075,AGATP,GBYOR
"Auenbruggerplatz 29, GRAZ","Martinistrasse 52, HAMBURG",1106.681,AGATP,GHGTP
"Auenbruggerplatz 29, GRAZ","Liebigstrasse 20, LEIPZIG",739.2,AGATP,GLPTP
"Auenbruggerplatz 29, GRAZ","Schiffgraben 44, Hannover",954.499,AGATP,GNDOR
"Auenbruggerplatz 29, GRAZ","Moricz Zs. krt. 22., Debrecen",595.435,AGATP,HDBTP
"Auenbruggerplatz 29, GRAZ","P. Debyelaan 25, MAASTRICHT",998.044,AGATP,NMSTP
"Auenbruggerplatz 29, GRAZ","Laarbeeklaan 101, JETTE/BRUSSEL",1108.795,AGATP,BBJTP
"Auenbruggerplatz 29, GRAZ","Zajceva 19, Zagreb",193.517,AGATP,CZMTP
"Auenbruggerplatz 29, GRAZ","Fetscherstr. 74, DRESDEN",666.655,AGATP,GDRTP
"Auenbruggerplatz 29, GRAZ","Vogelsang 105, HANN. MUENDEN",815.521,AGATP,GHMTP
"Auenbruggerplatz 29, GRAZ","Transplantationsbuero, LUEBECK",1130.582,AGATP,GLUTP
"Auenbruggerplatz 29, GRAZ","Saatwinkler Damm 11-12, Berlin",875.247,AGATP,GNOOR
"Auenbruggerplatz 29, GRAZ","Rakoczi ut 2., Pecs",330.546,AGATP,HPCTP
"Auenbruggerplatz 29, GRAZ","Geert Groote Plein 8, NIJMEGEN",1047.467,AGATP,NNYTP
