origin,destination,driving_distance,from_center,to_center
"Organisationsburo, REGENSBURG","Moorenstrasse 5, DUESSELDORF",540.27,GRBTP,GDUTP
"Organisationsburo, REGENSBURG","Stadtfelddamm 65, HANNOVER",564.359,GRBTP,GHOTP
"Organisationsburo, REGENSBURG","Theodor Kutzer Ufer 1-3, MANNHEIM",327.239,GRBTP,GMATP
"Organisationsburo, REGENSBURG","Lindenallee, Essen",563.593,GRBTP,GNWOR
"Organisationsburo, REGENSBURG","Pecsi ut 4., Szeged",813.887,GRBTP,HSZTP
"Organisationsburo, REGENSBURG","Dr. Molewaterplein 40, ROTTERDAM",771.608,GRBTP,NRDTP
"4 Rue Barble, LUXEMBOURG","Auenbruggerplatz 29, GRAZ",942.4,LLXTP,AGATP
"4 Rue Barble, LUXEMBOURG","De Pintelaan 185, GENT",269.461,LLXTP,BGETP
"4 Rue Barble, LUXEMBOURG","Stenglinstrasse 2, AUGSBURG",459.372,LLXTP,GAUTP
"4 Rue Barble, LUXEMBOURG","Hufelandstrasse 55, ESSEN",259.74,LLXTP,GESTP
"4 Rue Barble, LUXEMBOURG","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",130.941,LLXTP,GHSTP
"4 Rue Barble, LUXEMBOURG","Ismaningerstr. 22, MUENCHEN",536.02,LLXTP,GMHTP
"4 Rue Barble, LUXEMBOURG","Walter-Koehn-str. 1A, Leipzig",616.382,LLXTP,GOSOR
"4 Rue Barble, LUXEMBOURG","Karolina ut 19-21., Budapest",1189.754,LLXTP,HUNOR
"4 Rue Barble, LUXEMBOURG","Postbus 2060, ROTTERDAM",346.67,LLXTP,NRSTP
"4 Rue Barble, LUXEMBOURG","Anichstrasse 35, INNSBRUCK",620.435,LLXTP,AIBTP
"4 Rue Barble, LUXEMBOURG","10, Avenue Hippocrate, Brussels",206.286,LLXTP,BLATP
"4 Rue Barble, LUXEMBOURG","Universitaetsklinik, BOCHUM",273.93,LLXTP,GBBTP
"4 Rue Barble, LUXEMBOURG","Pacelli Allee 4, FULDA",343.117,LLXTP,GFDTP
"4 Rue Barble, LUXEMBOURG","Lessingstrasse 1, JENA",515.281,LLXTP,GJETP
"4 Rue Barble, LUXEMBOURG","Haifa-Allee 2, Mainz",204.841,LLXTP,GMIOR
"4 Rue Barble, LUXEMBOURG","Organisationsburo, REGENSBURG",552.212,LLXTP,GRBTP
"4 Rue Barble, LUXEMBOURG","4 Rue Barble, LUXEMBOURG",0,LLXTP,LLXTP
"4 Rue Barble, LUXEMBOURG","Heidelberglaan 100, UTRECHT",372.473,LLXTP,NUTTP
"4 Rue Barble, LUXEMBOURG","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",885.193,LLXTP,AKTTP
"4 Rue Barble, LUXEMBOURG","Herestraat 49, LEUVEN",222.811,LLXTP,BLETP
"4 Rue Barble, LUXEMBOURG","Herestraat 49, LEUVEN",222.811,LLXTP,BLMTP
"4 Rue Barble, LUXEMBOURG","Campus Virchow-Klinikum, BERLIN",765.537,LLXTP,GBCTP
"4 Rue Barble, LUXEMBOURG","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",241.54,LLXTP,GFMTP
"4 Rue Barble, LUXEMBOURG","Arnold-Heller-Strasse 3, KIEL",701.625,LLXTP,GKITP
"4 Rue Barble, LUXEMBOURG","Marchioninistr. 15, Munich",523.117,LLXTP,GMLTP
"4 Rue Barble, LUXEMBOURG","Ernst-Heydemann-Strasse 8, ROSTOCK",796.211,LLXTP,GROTP
"4 Rue Barble, LUXEMBOURG","Meibergdreef 9, Amsterdam",392.298,LLXTP,NAETP
"4 Rue Barble, LUXEMBOURG","Zaloska 7, LJUBLJANA",951.13,LLXTP,SLOTP
"4 Rue Barble, LUXEMBOURG","Fadingerstrasse 1, LINZ",779.767,LLXTP,AOETP
"4 Rue Barble, LUXEMBOURG","Avenue de l Hopital, LIEGE",161.328,LLXTP,BLGTP
"4 Rue Barble, LUXEMBOURG","Hindenburgdamm 30, Berlin",756.983,LLXTP,GBETP
"4 Rue Barble, LUXEMBOURG","Hugstetterstrasse 55, FREIBURG IM BREISGAU",311.446,LLXTP,GFRTP
"4 Rue Barble, LUXEMBOURG","Joseph  Stelzmannstrasse 9, KOELN",193.292,LLXTP,GKKTP
"4 Rue Barble, LUXEMBOURG","Albert Schweitzerstrasse 33, MUENSTER",345.98,LLXTP,GMNTP
"4 Rue Barble, LUXEMBOURG","Transplantationszentrum, STUTTGART",313.203,LLXTP,GSTTP
"4 Rue Barble, LUXEMBOURG","De Boelelaan 1117, AMSTERDAM",405.564,LLXTP,NAVTP
"4 Rue Barble, LUXEMBOURG","Krankenhausstrasse 9, LINZ",780.931,LLXTP,AOLTP
"4 Rue Barble, LUXEMBOURG","Ksaver 200a, Zagreb",1086.084,LLXTP,CHROR
"4 Rue Barble, LUXEMBOURG","St. Juergenstrasse, BREMEN",507.649,LLXTP,GBMTP
"4 Rue Barble, LUXEMBOURG","Klinikstrasse 36, GIESSEN",269.541,LLXTP,GGITP
"4 Rue Barble, LUXEMBOURG","Joseph-Stelzmann-Str. 9, KOELN",193.292,LLXTP,GKLTP
"4 Rue Barble, LUXEMBOURG","Baldingerstrasse, MARBURG/LAHN",305.962,LLXTP,GMRTP
"4 Rue Barble, LUXEMBOURG","Hoppe-Seyler-Strasse 3, TUEBINGEN",347.946,LLXTP,GTUTP
"4 Rue Barble, LUXEMBOURG","Postbus 22660, AMSTERDAM",405.53,LLXTP,NAWTP
"4 Rue Barble, LUXEMBOURG","Waehringer Guertel 18-20, Wien",941.229,LLXTP,AWDTP
"4 Rue Barble, LUXEMBOURG","J. Huttlera 4, Osijek",1367.085,LLXTP,COSTP
"4 Rue Barble, LUXEMBOURG","Sigmund Freud Strasse 25, BONN-Venusberg",210.486,LLXTP,GBOTP
"4 Rue Barble, LUXEMBOURG","Ernst Grube Strasse 40, HALLE/Saale",601.464,LLXTP,GHATP
"4 Rue Barble, LUXEMBOURG","Ostmerheimerstrasse 200, Koln (Merheim)",200.14,LLXTP,GKMTP
"4 Rue Barble, LUXEMBOURG","Langenbeckstr. 1, Mainz",202.713,LLXTP,GMZTP
"4 Rue Barble, LUXEMBOURG","ZIM - Medizinische Klinik I, WUERZBURG",355.259,LLXTP,GWZTP
"4 Rue Barble, LUXEMBOURG","Hanzeplein 1, Groningen",525.412,LLXTP,NGRTP
"4 Rue Barble, LUXEMBOURG","Abt. Transplantation 09 D, Wien",942.979,LLXTP,AWGTP
"4 Rue Barble, LUXEMBOURG","Kresimirova 42, Rijeka",1051.507,LLXTP,CRITP
"4 Rue Barble, LUXEMBOURG","Friedrichstrasse 10, Stuttgart",313.439,LLXTP,GBWOR
"4 Rue Barble, LUXEMBOURG","Im Neuenheimer Feld 110, HEIDELBERG",250.353,LLXTP,GHBTP
"4 Rue Barble, LUXEMBOURG","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",164.719,LLXTP,GKSTP
"4 Rue Barble, LUXEMBOURG","Maximilianspl. 2, ERLANGEN",437.636,LLXTP,GNBTP
"4 Rue Barble, LUXEMBOURG","Baross u. 23-25., Budapest",1193.32,LLXTP,HBSTP
"4 Rue Barble, LUXEMBOURG","Albinusdreef 2, LEIDEN",387.951,LLXTP,NLBTP
"4 Rue Barble, LUXEMBOURG","Wilrijkstraat 10, EDEGEM",242.983,LLXTP,BANTP
"4 Rue Barble, LUXEMBOURG","Kispaticeva 12, Zagreb",1083.046,LLXTP,CZATP
"4 Rue Barble, LUXEMBOURG","Marchioninistrasse 15, Muenchen",523.117,LLXTP,GBYOR
"4 Rue Barble, LUXEMBOURG","Martinistrasse 52, HAMBURG",616.484,LLXTP,GHGTP
"4 Rue Barble, LUXEMBOURG","Liebigstrasse 20, LEIPZIG",613.472,LLXTP,GLPTP
"4 Rue Barble, LUXEMBOURG","Schiffgraben 44, Hannover",484.364,LLXTP,GNDOR
"4 Rue Barble, LUXEMBOURG","Moricz Zs. krt. 22., Debrecen",1446.603,LLXTP,HDBTP
"4 Rue Barble, LUXEMBOURG","P. Debyelaan 25, MAASTRICHT",191.41,LLXTP,NMSTP
"4 Rue Barble, LUXEMBOURG","Laarbeeklaan 101, JETTE/BRUSSEL",222.38,LLXTP,BBJTP
"4 Rue Barble, LUXEMBOURG","Zajceva 19, Zagreb",1086.027,LLXTP,CZMTP
"4 Rue Barble, LUXEMBOURG","Fetscherstr. 74, DRESDEN",688.402,LLXTP,GDRTP
"4 Rue Barble, LUXEMBOURG","Vogelsang 105, HANN. MUENDEN",430.852,LLXTP,GHMTP
"4 Rue Barble, LUXEMBOURG","Transplantationsbuero, LUEBECK",681.067,LLXTP,GLUTP
"4 Rue Barble, LUXEMBOURG","Saatwinkler Damm 11-12, Berlin",764.744,LLXTP,GNOOR
"4 Rue Barble, LUXEMBOURG","Rakoczi ut 2., Pecs",1261.97,LLXTP,HPCTP
"4 Rue Barble, LUXEMBOURG","Geert Groote Plein 8, NIJMEGEN",323.517,LLXTP,NNYTP
"4 Rue Barble, LUXEMBOURG","808 Route de Lennik, Brussels",237.297,LLXTP,BBRTP
"4 Rue Barble, LUXEMBOURG","Pauwelstr. 30, AACHEN",199.054,LLXTP,GAKTP
"4 Rue Barble, LUXEMBOURG","Moorenstrasse 5, DUESSELDORF",226.147,LLXTP,GDUTP
"4 Rue Barble, LUXEMBOURG","Stadtfelddamm 65, HANNOVER",494.527,LLXTP,GHOTP
"4 Rue Barble, LUXEMBOURG","Theodor Kutzer Ufer 1-3, MANNHEIM",232.071,LLXTP,GMATP
"4 Rue Barble, LUXEMBOURG","Lindenallee, Essen",261.698,LLXTP,GNWOR
"4 Rue Barble, LUXEMBOURG","Pecsi ut 4., Szeged",1360.984,LLXTP,HSZTP
"4 Rue Barble, LUXEMBOURG","Dr. Molewaterplein 40, ROTTERDAM",347.666,LLXTP,NRDTP
"Heidelberglaan 100, UTRECHT","Auenbruggerplatz 29, GRAZ",1112.268,NUTTP,AGATP
"Heidelberglaan 100, UTRECHT","De Pintelaan 185, GENT",183.814,NUTTP,BGETP
"Heidelberglaan 100, UTRECHT","Stenglinstrasse 2, AUGSBURG",731.84,NUTTP,GAUTP
"Heidelberglaan 100, UTRECHT","Hufelandstrasse 55, ESSEN",177.798,NUTTP,GESTP
"Heidelberglaan 100, UTRECHT","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",453.548,NUTTP,GHSTP
"Heidelberglaan 100, UTRECHT","Ismaningerstr. 22, MUENCHEN",792.012,NUTTP,GMHTP
"Heidelberglaan 100, UTRECHT","Walter-Koehn-str. 1A, Leipzig",600.482,NUTTP,GOSOR
"Heidelberglaan 100, UTRECHT","Karolina ut 19-21., Budapest",1359.622,NUTTP,HUNOR
"Heidelberglaan 100, UTRECHT","Postbus 2060, ROTTERDAM",63.344,NUTTP,NRSTP
"Heidelberglaan 100, UTRECHT","Anichstrasse 35, INNSBRUCK",892.903,NUTTP,AIBTP
"Heidelberglaan 100, UTRECHT","10, Avenue Hippocrate, Brussels",170.291,NUTTP,BLATP
"Heidelberglaan 100, UTRECHT","Universitaetsklinik, BOCHUM",189.117,NUTTP,GBBTP
"Heidelberglaan 100, UTRECHT","Pacelli Allee 4, FULDA",461.854,NUTTP,GFDTP
"Heidelberglaan 100, UTRECHT","Lessingstrasse 1, JENA",552.186,NUTTP,GJETP
"Heidelberglaan 100, UTRECHT","Haifa-Allee 2, Mainz",406.889,NUTTP,GMIOR
"Heidelberglaan 100, UTRECHT","Organisationsburo, REGENSBURG",722.08,NUTTP,GRBTP
"Heidelberglaan 100, UTRECHT","4 Rue Barble, LUXEMBOURG",370.189,NUTTP,LLXTP
"Heidelberglaan 100, UTRECHT","Heidelberglaan 100, UTRECHT",0,NUTTP,NUTTP
"Heidelberglaan 100, UTRECHT","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",1140.948,NUTTP,AKTTP
"Heidelberglaan 100, UTRECHT","Herestraat 49, LEUVEN",185.352,NUTTP,BLETP
"Heidelberglaan 100, UTRECHT","Herestraat 49, LEUVEN",185.352,NUTTP,BLMTP
"Heidelberglaan 100, UTRECHT","Campus Virchow-Klinikum, BERLIN",627.933,NUTTP,GBCTP
"Heidelberglaan 100, UTRECHT","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",406.325,NUTTP,GFMTP
"Heidelberglaan 100, UTRECHT","Arnold-Heller-Strasse 3, KIEL",524.955,NUTTP,GKITP
"Heidelberglaan 100, UTRECHT","Marchioninistr. 15, Munich",795.585,NUTTP,GMLTP
"Heidelberglaan 100, UTRECHT","Ernst-Heydemann-Strasse 8, ROSTOCK",612.632,NUTTP,GROTP
"Heidelberglaan 100, UTRECHT","Meibergdreef 9, Amsterdam",41.432,NUTTP,NAETP
"Heidelberglaan 100, UTRECHT","Zaloska 7, LJUBLJANA",1206.885,NUTTP,SLOTP
"Heidelberglaan 100, UTRECHT","Fadingerstrasse 1, LINZ",949.635,NUTTP,AOETP
"Heidelberglaan 100, UTRECHT","Avenue de l Hopital, LIEGE",217.389,NUTTP,BLGTP
"Heidelberglaan 100, UTRECHT","Hindenburgdamm 30, Berlin",619.379,NUTTP,GBETP
"Heidelberglaan 100, UTRECHT","Hugstetterstrasse 55, FREIBURG IM BREISGAU",646.415,NUTTP,GFRTP
"Heidelberglaan 100, UTRECHT","Joseph  Stelzmannstrasse 9, KOELN",231.137,NUTTP,GKKTP
"Heidelberglaan 100, UTRECHT","Albert Schweitzerstrasse 33, MUENSTER",196.761,NUTTP,GMNTP
"Heidelberglaan 100, UTRECHT","Transplantationszentrum, STUTTGART",583.734,NUTTP,GSTTP
"Heidelberglaan 100, UTRECHT","De Boelelaan 1117, AMSTERDAM",49.903,NUTTP,NAVTP
"Heidelberglaan 100, UTRECHT","Krankenhausstrasse 9, LINZ",950.799,NUTTP,AOLTP
"Heidelberglaan 100, UTRECHT","Ksaver 200a, Zagreb",1293.718,NUTTP,CHROR
"Heidelberglaan 100, UTRECHT","St. Juergenstrasse, BREMEN",330.979,NUTTP,GBMTP
"Heidelberglaan 100, UTRECHT","Klinikstrasse 36, GIESSEN",372.459,NUTTP,GGITP
"Heidelberglaan 100, UTRECHT","Joseph-Stelzmann-Str. 9, KOELN",231.137,NUTTP,GKLTP
"Heidelberglaan 100, UTRECHT","Baldingerstrasse, MARBURG/LAHN",408.88,NUTTP,GMRTP
"Heidelberglaan 100, UTRECHT","Hoppe-Seyler-Strasse 3, TUEBINGEN",620.414,NUTTP,GTUTP
"Heidelberglaan 100, UTRECHT","Postbus 22660, AMSTERDAM",52.838,NUTTP,NAWTP
"Heidelberglaan 100, UTRECHT","Waehringer Guertel 18-20, Wien",1111.097,NUTTP,AWDTP
"Heidelberglaan 100, UTRECHT","J. Huttlera 4, Osijek",1575.574,NUTTP,COSTP
"Heidelberglaan 100, UTRECHT","Sigmund Freud Strasse 25, BONN-Venusberg",258.361,NUTTP,GBOTP
"Heidelberglaan 100, UTRECHT","Ernst Grube Strasse 40, HALLE/Saale",568.339,NUTTP,GHATP
"Heidelberglaan 100, UTRECHT","Ostmerheimerstrasse 200, Koln (Merheim)",224.745,NUTTP,GKMTP
"Heidelberglaan 100, UTRECHT","Langenbeckstr. 1, Mainz",395.002,NUTTP,GMZTP
"Heidelberglaan 100, UTRECHT","ZIM - Medizinische Klinik I, WUERZBURG",519.791,NUTTP,GWZTP
"Heidelberglaan 100, UTRECHT","Hanzeplein 1, Groningen",188.042,NUTTP,NGRTP
"Heidelberglaan 100, UTRECHT","Abt. Transplantation 09 D, Wien",1112.847,NUTTP,AWGTP
"Heidelberglaan 100, UTRECHT","Kresimirova 42, Rijeka",1307.262,NUTTP,CRITP
"Heidelberglaan 100, UTRECHT","Friedrichstrasse 10, Stuttgart",581.18,NUTTP,GBWOR
"Heidelberglaan 100, UTRECHT","Im Neuenheimer Feld 110, HEIDELBERG",469.573,NUTTP,GHBTP
"Heidelberglaan 100, UTRECHT","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",457.782,NUTTP,GKSTP
"Heidelberglaan 100, UTRECHT","Maximilianspl. 2, ERLANGEN",602.168,NUTTP,GNBTP
"Heidelberglaan 100, UTRECHT","Baross u. 23-25., Budapest",1363.188,NUTTP,HBSTP
"Heidelberglaan 100, UTRECHT","Albinusdreef 2, LEIDEN",64.644,NUTTP,NLBTP
"Heidelberglaan 100, UTRECHT","Wilrijkstraat 10, EDEGEM",133.169,NUTTP,BANTP
"Heidelberglaan 100, UTRECHT","Kispaticeva 12, Zagreb",1291.829,NUTTP,CZATP
"Heidelberglaan 100, UTRECHT","Marchioninistrasse 15, Muenchen",795.585,NUTTP,GBYOR
"Heidelberglaan 100, UTRECHT","Martinistrasse 52, HAMBURG",439.814,NUTTP,GHGTP
"Heidelberglaan 100, UTRECHT","Liebigstrasse 20, LEIPZIG",608.223,NUTTP,GLPTP
"Heidelberglaan 100, UTRECHT","Schiffgraben 44, Hannover",351.833,NUTTP,GNDOR
"Heidelberglaan 100, UTRECHT","Moricz Zs. krt. 22., Debrecen",1616.471,NUTTP,HDBTP
"Heidelberglaan 100, UTRECHT","P. Debyelaan 25, MAASTRICHT",180.283,NUTTP,NMSTP
"Heidelberglaan 100, UTRECHT","Laarbeeklaan 101, JETTE/BRUSSEL",174.673,NUTTP,BBJTP
"Heidelberglaan 100, UTRECHT","Zajceva 19, Zagreb",1294.809,NUTTP,CZMTP
"Heidelberglaan 100, UTRECHT","Fetscherstr. 74, DRESDEN",716.373,NUTTP,GDRTP
"Heidelberglaan 100, UTRECHT","Vogelsang 105, HANN. MUENDEN",392.945,NUTTP,GHMTP
"Heidelberglaan 100, UTRECHT","Transplantationsbuero, LUEBECK",497.488,NUTTP,GLUTP
"Heidelberglaan 100, UTRECHT","Saatwinkler Damm 11-12, Berlin",627.14,NUTTP,GNOOR
"Heidelberglaan 100, UTRECHT","Rakoczi ut 2., Pecs",1431.838,NUTTP,HPCTP
"Heidelberglaan 100, UTRECHT","Geert Groote Plein 8, NIJMEGEN",87.894,NUTTP,NNYTP
"Heidelberglaan 100, UTRECHT","808 Route de Lennik, Brussels",185.091,NUTTP,BBRTP
"Heidelberglaan 100, UTRECHT","Pauwelstr. 30, AACHEN",196.099,NUTTP,GAKTP
"Heidelberglaan 100, UTRECHT","Moorenstrasse 5, DUESSELDORF",204.97,NUTTP,GDUTP
"Heidelberglaan 100, UTRECHT","Stadtfelddamm 65, HANNOVER",361.996,NUTTP,GHOTP
"Heidelberglaan 100, UTRECHT","Theodor Kutzer Ufer 1-3, MANNHEIM",462.082,NUTTP,GMATP
"Heidelberglaan 100, UTRECHT","Lindenallee, Essen",169.417,NUTTP,GNWOR
"Heidelberglaan 100, UTRECHT","Pecsi ut 4., Szeged",1530.851,NUTTP,HSZTP
"Heidelberglaan 100, UTRECHT","Dr. Molewaterplein 40, ROTTERDAM",65.218,NUTTP,NRDTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Auenbruggerplatz 29, GRAZ",143.492,AKTTP,AGATP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","De Pintelaan 185, GENT",1149.798,AKTTP,BGETP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Stenglinstrasse 2, AUGSBURG",434.308,AKTTP,GAUTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Hufelandstrasse 55, ESSEN",981.154,AKTTP,GESTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",761.518,AKTTP,GHSTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Ismaningerstr. 22, MUENCHEN",347.387,AKTTP,GMHTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Walter-Koehn-str. 1A, Leipzig",782.908,AKTTP,GOSOR
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Karolina ut 19-21., Budapest",468.837,AKTTP,HUNOR
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Postbus 2060, ROTTERDAM",1188.785,AKTTP,NRSTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Anichstrasse 35, INNSBRUCK",392.733,AKTTP,AIBTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","10, Avenue Hippocrate, Brussels",1125.626,AKTTP,BLATP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Universitaetsklinik, BOCHUM",972.3,AKTTP,GBBTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Pacelli Allee 4, FULDA",725.882,AKTTP,GFDTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Lessingstrasse 1, JENA",722.729,AKTTP,GJETP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Haifa-Allee 2, Mainz",778.03,AKTTP,GMIOR
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Organisationsburo, REGENSBURG",424.272,AKTTP,GRBTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","4 Rue Barble, LUXEMBOURG",884.125,AKTTP,LLXTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Heidelberglaan 100, UTRECHT",1138.613,AKTTP,NUTTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",0,AKTTP,AKTTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Herestraat 49, LEUVEN",1106.927,AKTTP,BLETP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Herestraat 49, LEUVEN",1106.927,AKTTP,BLMTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Campus Virchow-Klinikum, BERLIN",932.063,AKTTP,GBCTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",742.297,AKTTP,GFMTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Arnold-Heller-Strasse 3, KIEL",1225.039,AKTTP,GKITP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Marchioninistr. 15, Munich",355.77,AKTTP,GMLTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Ernst-Heydemann-Strasse 8, ROSTOCK",1125.491,AKTTP,GROTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Meibergdreef 9, Amsterdam",1166.941,AKTTP,NAETP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Zaloska 7, LJUBLJANA",93.397,AKTTP,SLOTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Fadingerstrasse 1, LINZ",249.896,AKTTP,AOETP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Avenue de l Hopital, LIEGE",1041.665,AKTTP,BLGTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Hindenburgdamm 30, Berlin",923.509,AKTTP,GBETP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Hugstetterstrasse 55, FREIBURG IM BREISGAU",771.21,AKTTP,GFRTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Joseph  Stelzmannstrasse 9, KOELN",926.484,AKTTP,GKKTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Albert Schweitzerstrasse 33, MUENSTER",1025.152,AKTTP,GMNTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Transplantationszentrum, STUTTGART",581.291,AKTTP,GSTTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","De Boelelaan 1117, AMSTERDAM",1175.412,AKTTP,NAVTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Krankenhausstrasse 9, LINZ",251.06,AKTTP,AOLTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Ksaver 200a, Zagreb",228.35,AKTTP,CHROR
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","St. Juergenstrasse, BREMEN",1097.064,AKTTP,GBMTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Klinikstrasse 36, GIESSEN",798.342,AKTTP,GGITP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Joseph-Stelzmann-Str. 9, KOELN",926.484,AKTTP,GKLTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Baldingerstrasse, MARBURG/LAHN",833.575,AKTTP,GMRTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Hoppe-Seyler-Strasse 3, TUEBINGEN",608.75,AKTTP,GTUTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Postbus 22660, AMSTERDAM",1173.946,AKTTP,NAWTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Waehringer Guertel 18-20, Wien",321.307,AKTTP,AWDTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","J. Huttlera 4, Osijek",509.351,AKTTP,COSTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Sigmund Freud Strasse 25, BONN-Venusberg",914.54,AKTTP,GBOTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Ernst Grube Strasse 40, HALLE/Saale",788.909,AKTTP,GHATP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Ostmerheimerstrasse 200, Koln (Merheim)",921.221,AKTTP,GKMTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Langenbeckstr. 1, Mainz",776.994,AKTTP,GMZTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","ZIM - Medizinische Klinik I, WUERZBURG",627.092,AKTTP,GWZTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Hanzeplein 1, Groningen",1179.955,AKTTP,NGRTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Abt. Transplantation 09 D, Wien",301.264,AKTTP,AWGTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Kresimirova 42, Rijeka",193.773,AKTTP,CRITP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Friedrichstrasse 10, Stuttgart",582.81,AKTTP,GBWOR
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Im Neuenheimer Feld 110, HEIDELBERG",697.763,AKTTP,GHBTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",737.04,AKTTP,GKSTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Maximilianspl. 2, ERLANGEN",541.608,AKTTP,GNBTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Baross u. 23-25., Budapest",472.403,AKTTP,HBSTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Albinusdreef 2, LEIDEN",1190.084,AKTTP,NLBTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Wilrijkstraat 10, EDEGEM",1132.444,AKTTP,BANTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Kispaticeva 12, Zagreb",225.313,AKTTP,CZATP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Marchioninistrasse 15, Muenchen",355.77,AKTTP,GBYOR
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Martinistrasse 52, HAMBURG",1139.898,AKTTP,GHGTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Liebigstrasse 20, LEIPZIG",779.998,AKTTP,GLPTP
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Schiffgraben 44, Hannover",983.121,AKTTP,GNDOR
"St. Veiterstrasse 47, KLAGENFURT/KAERNTEN","Moricz Zs. krt. 22., Debrecen",725.685,AKTTP,HDBTP
