"rel_time_event","event_prob","strata"
0,0.980769230769231,"7"
0.6438,1,"7"
0,1,"14"
0,0.967741935483871,"21"
0.122,1,"21"
0,0.961538461538462,"30"
0.0796,1,"30"
0,0.957575757575758,"90"
0.2443,0.963636363636364,"90"
0.5379,0.96969696969697,"90"
0.6376,0.975757575757576,"90"
0.6498,0.981818181818182,"90"
0.6581,0.987878787878788,"90"
0.7533,0.993939393939394,"90"
0.8995,1,"90"
0,0.919075144508671,"180"
0.1478,0.92485549132948,"180"
0.1735,0.930635838150289,"180"
0.419,0.936416184971098,"180"
0.5678,0.942196531791908,"180"
0.6137,0.947976878612717,"180"
0.6311,0.953757225433526,"180"
0.7171,0.959537572254335,"180"
0.7713,0.965317919075145,"180"
0.8282,0.971098265895954,"180"
0.8729,0.976878612716763,"180"
0.925,0.982658959537572,"180"
0.9525,0.988439306358382,"180"
0.9527,0.994219653179191,"180"
0.9679,1,"180"
0,0.773993808049536,"365"
0.0532,0.777089783281734,"365"
0.0919,0.780185758513932,"365"
0.1275,0.78328173374613,"365"
0.1746,0.786377708978328,"365"
0.1818,0.789473684210526,"365"
0.1846,0.792569659442724,"365"
0.1858,0.795665634674923,"365"
0.1972,0.798761609907121,"365"
0.2128,0.801857585139319,"365"
0.2371,0.804953560371517,"365"
0.2625,0.808049535603715,"365"
0.2656,0.811145510835913,"365"
0.266,0.814241486068111,"365"
0.2726,0.81733746130031,"365"
0.279,0.820433436532508,"365"
0.2964,0.823529411764706,"365"
0.3023,0.826625386996904,"365"
0.3069,0.829721362229102,"365"
0.3254,0.8328173374613,"365"
0.3313,0.835913312693498,"365"
0.3368,0.839009287925697,"365"
0.4001,0.842105263157895,"365"
0.4127,0.845201238390093,"365"
0.4475,0.848297213622291,"365"
0.47,0.851393188854489,"365"
0.4727,0.854489164086687,"365"
0.4944,0.857585139318885,"365"
0.5262,0.860681114551084,"365"
0.5318,0.863777089783282,"365"
0.5371,0.86687306501548,"365"
0.5652,0.869969040247678,"365"
0.614,0.873065015479876,"365"
0.6219,0.876160990712074,"365"
0.6285,0.879256965944272,"365"
0.6455,0.882352941176471,"365"
0.6567,0.885448916408669,"365"
0.658,0.888544891640867,"365"
0.6707,0.891640866873065,"365"
0.6728,0.894736842105263,"365"
0.6832,0.897832817337461,"365"
0.6847,0.90092879256966,"365"
0.6897,0.904024767801858,"365"
0.7014,0.907120743034056,"365"
0.7129,0.910216718266254,"365"
0.7291,0.913312693498452,"365"
0.7298,0.91640866873065,"365"
0.7337,0.919504643962848,"365"
0.7367,0.922600619195046,"365"
0.747,0.925696594427245,"365"
0.7798,0.928792569659443,"365"
0.7842,0.931888544891641,"365"
0.8108,0.934984520123839,"365"
0.8181,0.938080495356037,"365"
0.8275,0.941176470588235,"365"
0.8317,0.944272445820433,"365"
0.8385,0.947368421052632,"365"
0.8571,0.95046439628483,"365"
0.8847,0.953560371517028,"365"
0.8974,0.956656346749226,"365"
0.9031,0.959752321981424,"365"
0.9038,0.962848297213622,"365"
0.9358,0.96594427244582,"365"
0.9444,0.969040247678019,"365"
0.9451,0.972136222910217,"365"
0.9486,0.975232198142415,"365"
0.9506,0.978328173374613,"365"
0.9682,0.981424148606811,"365"
0.9742,0.984520123839009,"365"
0.9766,0.987616099071207,"365"
0.9847,0.990712074303406,"365"
0.9881,0.993808049535604,"365"
0.9974,0.996904024767802,"365"
0.999,1,"365"
0,0.740492170022371,"730"
0.00570000000000004,0.742729306487696,"730"
0.00700000000000001,0.74496644295302,"730"
0.0291,0.747203579418344,"730"
0.0392,0.749440715883669,"730"
0.0576,0.751677852348993,"730"
0.101,0.753914988814318,"730"
0.1152,0.756152125279642,"730"
0.1194,0.758389261744966,"730"
0.1207,0.760626398210291,"730"
0.1455,0.762863534675615,"730"
0.1568,0.76510067114094,"730"
0.1579,0.767337807606264,"730"
0.1632,0.769574944071588,"730"
0.2027,0.771812080536913,"730"
0.2049,0.774049217002237,"730"
0.2551,0.776286353467561,"730"
0.2553,0.778523489932886,"730"
0.2582,0.78076062639821,"730"
