"offers_before_rescue","prob"
0,0.0056338028169014
1,0.00935569750380005
2,0.0154978676698527
3,0.0268867098176307
4,0.0362978634944429
5,0.0679418142453716
6,0.106980900559702
7,0.196282810503732
8,0.262161268659163
9,0.367566801707854
10,0.494053441366283
11,0.550269725658919
12,0.700179817105946
